ï»¿College_id,College_name,survey_year,faculty_name,department_name,levell,programme_id,programme,discipline_group_id,discipline_group,discipline,type,year,id,total_general_total,total_general_females,total_sc_total,total_sc_females,total_st_total,total_st_females,total_obc_total,total_obc_females,total_total_persons,total_total_females,total_remarks_id,pwd_general_total,pwd_general_females,pwd_sc_total,pwd_sc_females,pwd_st_total,pwd_st_females,pwd_obc_total,pwd_obc_females,pwd_total_persons,pwd_total_females,pwd_remarks_id,muslim_minority_general_total,muslim_minority_general_females,muslim_minority_sc_total,muslim_minority_sc_females,muslim_minority_st_total,muslim_minority_st_females,muslim_minority_obc_total,muslim_minority_obc_females,muslim_minority_total_persons,muslim_minority_total_females,muslim_minority_remarks_id,other_minority_general_total,other_minority_general_females,other_minority_sc_total,other_minority_sc_females,other_minority_st_total,other_minority_st_females,other_minority_obc_total,other_minority_obc_females,other_minority_total_persons,other_minority_total_females,other_minority_remarks_id,passion_interest
15134,"SMT. BHUDEVI MAHAVIDYALAYA SHASTRI PURAM, AGRA",2015,,,Under Graduate,30,B.Sc.-Bachelor of Science,171,Science,Science,Self Financing,3,4240933,75.0,31.0,67.0,32.0,0.0,0.0,103.0,65.0,245,128,,,,,,,,,,0,0,1.0,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,"* Curiosity about the natural world
* Interest in scientific principles
* Passion for solving problems
* Desire to understand complex phenomena
* Fascination with math and logic
* Interest in the application of science to real-world problems
* Aspiration to pursue a career in science or research
* Desire to acquire a strong foundation in the sciences
* Interest in exploring diverse scientific disciplines
* Appreciation for the role of science in society"
6133,Techno India 130,2015,,,Under Graduate,36,B.Tech.-Bachelor of Technology,26,Other Engineering & Technology,FOOD TECHNOLOGY(UG),Self Financing,2,4241114,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Engineering principles and design
* Problem-solving and analytical abilities
* Mathematics and science
* Technology and innovation
* Building and creating
* Solving complex problems
* Applying knowledge to real-world situations
* Making a difference in the world
* Working in teams
* Learning and growing
* Career opportunities"
47253,"Shri D N Institute of Computer Applications, Anand",2015,,,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,183,Computer Application,Computer Science,Self Financing,3,4241168,110.0,25.0,5.0,1.0,4.0,2.0,17.0,4.0,136,32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* An interest in computer systems, software development, and programming
* A passion for solving problems using technology
* A desire to learn about the latest trends and advancements in the IT industry
* A keen eye for detail and analytical thinking
* Strong communication and interpersonal skills
* Project management and teamwork capabilities
* A desire to pursue a career in the IT field"
6332,Techno India 309,2015,,BHM,Under Graduate,54,B.H.M.-Bachelor of Hotel Management,57,Hotel Management,BHM,Self Financing,3,4241729,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,59,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Passion for hospitality industry
* Interest in food and beverage operations
* Desire to manage and lead hotel operations
* Enjoyment of providing exceptional guest experiences
* Strong customer service skills
* Leadership and management potential
* Excellent communication and interpersonal skills
* Analytical and problem-solving abilities
* Attention to detail
* Ability to work in a fast-paced environment
* Willingness to work long hours and weekends"
6065,Sigma Institute of Physiotherapy,2015,,,Under Graduate,70,B.P.T.-Bachelor of Physiotherapy,164,Physiotherapy,Physiotherapy,Self Financing,3,4244772,23.0,22.0,3.0,2.0,4.0,4.0,8.0,7.0,38,35,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Desire to help individuals improve their physical health and well-being
* Interest in the human body, movement, and anatomy
* Passion for understanding and treating physical impairments
* Commitment to lifelong learning and professional development
* Empathy and compassion for those in need of rehabilitation
* Strong communication and interpersonal skills
* Interest in technology and its use in physiotherapy
* Belief in the importance of evidence-based practice
* Desire to work in a dynamic and rewarding healthcare field
* Passion for sports, rehabilitation, and physical activity"
15105,"SHRI VARSHNEY COLLEGE,ALIGARH",2015,,,Under Graduate,30,B.Sc.-Bachelor of Science,171,Science,Mathematics,General,3,5654515,74.0,48.0,27.0,6.0,1.0,0.0,50.0,20.0,152,74,,,,,,,,,,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.0,1.0,"* Mathematics
* Physics
* Chemistry
* Biology
* Environmental Science
* Geography
* Computer Science
* Agriculture
* Geology
* Zoology"
41656,"Dr. D.Y. Patil Educational Academy's Dr. D.Y. Patil College of Engineering,Ambi, Talegaon, Pune",2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,185,Information Technology,Engineering,Self Financing,1,4246739,15.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,21,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Mechanical things and processes
* Designing and building devices
* Solving engineering problems
* Applying scientific principles to practical applications
* Mathematics and physics
* Innovation and creativity
* Technology and gadgets
* Entrepreneurship
* Project management
* Leadership and teamwork
* Environmental sustainability"
417,"BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA 005",2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,19,Electrical Engineering,ELECTRICAL ENGINEERING,Self Financing,1,4246820,62.0,5.0,5.0,1.0,1.0,0.0,10.0,1.0,78,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,"* Problem-solving aptitude
* Interest in science and mathematics
* Desire to design and build innovative solutions
* Curiosity about how things work
* Passion for creating practical applications
* Analytical thinking skills
* Ability to work with teams and solve complex problems
* Strong work ethic
* Commitment to lifelong learning
* Drive to make a difference in the world"
51622,"DR.D.Y.PATIL EDUCATIONAL ACADEMYS DR.D.Y.PATIL INSTITUTE OF ENGINEERING AND TECHNOLOGY,AMBI,PUNE",2015,,,Under Graduate,50,B.E.-Bachelor of Engineering,185,Information Technology,Engineering,Self Financing,1,4247698,19.0,8.0,0.0,0.0,0.0,0.0,5.0,2.0,24,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"* Interest in solving complex problems
* Passion for mathematics and science
* Desire to design and build infrastructure
* Fascination with technology
* Ambition to drive innovation
* Interest in environmental sustainability
* Aspiration to make a positive impact on society
* Desire for a stable and rewarding career
* Curiosity about how the world works
* Love of learning and problem-solving"
10296,Rayat Group of Institutions,2015,,,Under Graduate,36,B.Tech.-Bachelor of Technology,23,Mechanical Engineering,ME,Self Financing,1,4248953,62.0,0.0,29.0,0.0,0.0,0.0,9.0,0.0,100,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,43.0,0.0,,"* Physics
* Mathematics
* Chemistry
* Engineering
* Design
* Innovation
* Problem-solving
* Technology
* Software
* Hardware
* Electronics
* Robotics
* Aerospace
* Civil engineering
* Mechanical engineering
* Electrical engineering
* Chemical engineering
* Computer science"
