Course,Name,City,State,Rank,Type,Website,passion_interest
12. Bachelor of Science (Animal Husbandry),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* **Agriculture**
* **Animals**
* **Farming**
* **Genetics**
* **Nutrition**"
13. Bachelor of Science (Poultry Science),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Poultry
* Farming
* Agriculture
* Nutrition
* Science"
14. Bachelor of Science (Aquaculture),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* **Biology**
* **Environmentalism**
* **Farming**
* **Zoology**
* **Sustainability**"
15. Bachelor of Science (Sericulture),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Sericulture
* Textile
* Fashion
* Agriculture
* Science"
16. Bachelor of Science (Seed Technology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Botany 
* Plant science
* Seed science
* Genetics"
17. Bachelor of Science (Nematology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* *Parasitology*
* *Plant Pathology*
* *Microbiology*
* *Pest Management*
* *Agriculture*"
18. Bachelor of Science (Agronomy),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Soil Science
* Crop Production
* Plant Breeding
* Agronomy"
19. Bachelor of Science (Soil Science),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Environment
* Agriculture
* Soils
* Plants
* Research"
20. Bachelor of Science (Plant Pathology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Agriculture
* Biology
* Botany
* Crop Science
* Microbiology"
21. Bachelor of Science (Entomology),Junagadh Agricultural University,Iunagadh,Gujarat,38,State,https://www.jau.in/main/,"* Insects
* Ecology
* Pest management
* Conservation
* Research"
1. Bachelor of Science (Agriculture),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Agriculture
* Farming
* Research
* Environment
* Sustainability"
2. Bachelor of Science (Horticulture),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Agronomy
* Botany
* Food Science
* Landscaping
* Plant Breeding"
3. Bachelor of Science (Food Science and Technology),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Food
* Science
* Technology
* Nutrition
* Safety"
4. Bachelor of Science (Agricultural Biotechnology),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Biotechnology
* Agriculture
* Plant science
* Genetics
* Microbiology"
5. Bachelor of Science (Agricultural Engineering),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Agriculture
* Engineering
* Technology
* Sustainability
* Food security"
6. Bachelor of Science (Agricultural Information Science),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Information Technology
* Agriculture
* Communication
* Technology Transfer
* Knowledge Management"
7. Bachelor of Science (Agricultural Economics and Management),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Agriculture
* Economics
* Finance
* Management
* Sustainability"
8. Bachelor of Science (Agricultural Extension Education),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Farming
* Education
* Development
* Sustainability
* Communication"
9. Bachelor of Science (Agricultural Business Management),"University ofAgricultural Sciences, Raichur",Raichur,Karnataka,39,State,https://www.uasraichur.edu.in/,"* Agriculture
* Business
* Management
* Economics
* Finance"
1. B.F.Sc. (Bachelor of Fisheries Science),Tamil Nadu Dr.].]ayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,40,State,https://tnfu.ac.in/,"* Nutrition
* Dietetics
* Food Science
* Public Health
* Biochemistry"
2. B.Tech. (Aquaculture Engineering),Tamil Nadu Dr.].]ayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,40,State,https://tnfu.ac.in/,"* Mathematics
* Physics
* Engineering
* Technology
* Innovation"
4. B.Sc. (Coastal Aquaculture),Tamil Nadu Dr.].]ayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,40,State,https://tnfu.ac.in/,"* Science
* Research
* Analysis
* Technology
* Innovation"
5. B.Sc. (Marine Biotechnology),Tamil Nadu Dr.].]ayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,40,State,https://tnfu.ac.in/,"* Biology
* Chemistry
* Mathematics
* Physics
* Technology"
8. Bachelor of Education (B.Ed),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Teaching
* Education
* Children
* Learning
* Curriculum"
9. Bachelor of Pharmacy (B.Pharm),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Science
* Chemistry
* Biology
* Healthcare
* Research"
10. Bachelor of Fashion Technology (B.FTech),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Creativity
* Design
* Fashion
* Aesthetics
* Innovation"
11. Bachelor of Hotel Management (BHM),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Service
* Hospitality
* Management
* Travel
* Food"
12. Bachelor of Agriculture (B.Sc. Ag.),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Agriculture
* Biology
* Chemistry
* Environment
* Sustainability"
13. Bachelor of Veterinary Science and Animal Husbandry (B.V.Sc. & A.H.),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Animals
* Biology
* Chemistry
* Medicine
* Veterinary science"
14. Bachelor of Physiotherapy (BPT),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Medicine
* Rehabilitation
* Movement
* Human Anatomy
* Sports"
15. Bachelor of Occupational Therapy (BOT),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Healthcare
* Helping others
* Rehabilitation
* Human anatomy
* Therapy"
16. Bachelor of Architecture (B.Arch),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Design
* Creativity
* Building
* Art
* History"
17. Bachelor of Law (LLB),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Advocacy 
* Social Justice 
* Politics 
* Business 
* Writing"
18. Bachelor of Science in Nursing (B.Sc. Nursing),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Helping others
* Healthcare
* Science
* Anatomy
* Physiology"
19. Bachelor of Science in Medical Imaging Technology (B.Sc. MIT),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Technology
* Medicine
* Science
* Imaging
* Healthcare"
20. Bachelor of Science in Radiography (B.Sc. RT),Lovely Professional University,Phagwara,Punjab,27,Private,[https://www.lpu.in/](https://www.lpu.in/),"* Medical imaging
* Anatomy
* Physics
* Health care
* Technology"
1. Bachelor of Science in Agriculture (B.Sc. (Agriculture)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Agriculture
* Farming
* Sustainability
* Environment
* Science"
2. Bachelor of Science in Forestry (B.Sc. (Forestry)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Ecology
* Silviculture
* Wildlife
* Soils
* Hydrology"
3. Bachelor of Science in Horticulture (B.Sc. (Horticulture)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Plants
* Gardening
* Environment
* Nature
* Sustainability"
4. Bachelor of Science in Food Technology (B.Sc. (Food Technology)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Food Safety
* Food Microbiology
* Food Chemistry
* Food Processing
* Food Engineering"
5. Bachelor of Science in Biotechnology (B.Sc. (Biotechnology)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Biology
* Chemistry
* Mathematics
* Engineering
* Healthcare"
6. Bachelor of Science in Dairy Technology (B.Sc. (Dairy Technology)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Nutrition
* Food Science
* Agriculture
* Animal Science
* Business"
7. Bachelor of Science in Agricultural Engineering (B.Sc. (Agricultural Engineering)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Agriculture
* Engineering
* Technology
* Environment
* Sustainability"
8. Bachelor of Science in Environmental Science (B.Sc. (Environmental Science)),University of Agricultural Sciences,Dharwad,Karnataka,28,State,https://uasd.edu.in/,"* Conservation
* Ecology
* Sustainability
* Climate change
* Wildlife"
